location,lat,lng
camborne,50.218,-5.327
hurn,50.779,-1.835
eastbourne,50.762,0.285
chivenor,51.089,-4.147
yeovilton,51.006,-2.641
manston,51.346,1.337
heathrow,51.479,-0.449
cardiff,51.488,-3.187
oxford,51.761,-1.262
aberporth,52.139,-4.57
cwmystwyth,52.358,-3.802
cambridge,52.245,0.102
shawbury,52.794,-2.663
suttonbonington,52.833,-1.25
waddington,53.175,-0.522
durham,54.768,-1.585
newtonrigg,54.67,-2.786
armagh,54.352,-6.649
eskdalemuir,55.311,-3.206
paisley,55.846,-4.43
leuchars,56.377,-2.861
dunstaffnage,56.451,-5.439
tiree,56.5,-6.88
wickairport,58.454,-3.088
stornoway,58.214,-6.318
